Year,Quarter,Revenue_USD,Profit_USD,Number_of_Clients,Number_of_Projects,New_Clients,IT_Budget_USD,Market_Share_Percent,Employee_Satisfaction_Score,Employee_ID
2018,Q3,644216,799258,148,34,35,158862,1.99,4,EMP0107
2023,Q2,828501,388579,417,40,31,175174,3.76,4,EMP0182
2023,Q1,994420,735660,448,13,7,824285,17.46,1,EMP0005
2021,Q4,1202595,745920,392,9,11,899477,11.62,2,EMP0152
2013,Q1,2541334,128077,176,26,28,807162,12.91,2,EMP0004
2021,Q1,4152103,943559,138,26,6,599600,2.87,4,EMP0133
2013,Q2,3012291,576795,64,7,30,236368,12.9,3,EMP0045
2022,Q4,1316858,727138,420,47,38,897236,14.76,4,EMP0114
2021,Q2,2798501,605000,389,21,11,529880,5.97,1,EMP0176
2012,Q2,2239220,154403,430,16,20,120680,7.42,4,EMP0098
2014,Q1,2394452,704570,114,9,32,373655,17.28,5,EMP0038
2011,Q3,1056207,559553,487,49,43,677346,17.03,4,EMP0149
2010,Q4,4218933,259067,133,28,50,897959,12.19,4,EMP0021
2014,Q3,4011596,638589,33,17,32,847044,10.01,4,EMP0126
2021,Q4,2268114,801985,73,9,21,482334,11.89,2,EMP0022
2022,Q1,3640755,270430,301,6,34,798647,12.53,3,EMP0145
2014,Q1,4013442,798920,126,18,19,899625,0.47,4,EMP0174
2022,Q2,1547187,771413,429,23,30,653941,2.03,4,EMP0032
2014,Q3,4162689,528611,348,49,36,646326,17.38,1,EMP0061
2023,Q2,4949154,765943,463,45,12,839480,19.39,1,EMP0028
2023,Q4,4933887,151908,85,5,8,616087,1.16,2,EMP0096
2022,Q3,2942900,623501,200,19,29,992418,10.92,2,EMP0116
2022,Q4,1727607,213529,141,24,44,926083,5.65,1,EMP0047
2019,Q4,3116398,55559,36,11,36,757876,7.14,1,EMP0060
2012,Q4,2701469,693542,42,27,18,152105,4.15,1,EMP0121
2022,Q3,1753317,820653,52,46,36,264767,1.2,5,EMP0093
2022,Q4,3906035,543001,333,13,49,801418,1.8,2,EMP0155
2012,Q3,2009613,635244,215,14,25,645404,3.87,1,EMP0020
2014,Q1,3499622,278614,244,9,17,746509,6.14,5,EMP0160
2018,Q3,2696669,507916,202,6,41,838861,18.35,1,EMP0053
2016,Q4,2991004,708878,37,20,39,605153,8.92,2,EMP0166
2011,Q1,4788355,340806,31,49,41,104497,16.45,4,EMP0142
2018,Q4,4735134,445093,161,23,20,477547,4.72,5,EMP0152
2017,Q3,3458277,166960,65,33,26,773227,4.91,4,EMP0122
2012,Q2,854729,547392,287,10,16,429275,11.68,4,EMP0025
2017,Q4,2647463,118460,489,20,22,802540,4.31,1,EMP0120
2014,Q2,691489,222852,31,33,9,146730,10.38,2,EMP0038
2021,Q2,3750092,280527,56,18,29,693724,5.74,3,EMP0129
2015,Q1,4978509,593550,395,27,21,438715,7.81,5,EMP0174
2018,Q3,4285957,106085,123,31,11,540691,15.73,5,EMP0154
2012,Q3,3848908,192081,73,28,48,673137,9.89,1,EMP0136
2019,Q3,2725321,979177,304,50,3,810334,5.39,2,EMP0127
2014,Q4,671402,860904,466,25,7,333279,7.71,2,EMP0054
2014,Q3,2064820,623337,412,30,35,656431,0.84,3,EMP0085
2017,Q1,1423389,888959,383,35,47,315184,4.9,5,EMP0120
2019,Q3,1920589,584397,13,29,38,126578,11.71,2,EMP0132
2015,Q1,2845809,54211,449,12,47,167255,14.86,3,EMP0057
2010,Q2,2960363,259745,184,12,33,453561,11.76,1,EMP0094
2015,Q4,4522689,704880,144,29,1,768839,5.27,4,EMP0165
2015,Q4,3347298,922070,197,27,46,180148,19.94,3,EMP0142
2016,Q2,1609512,318599,117,20,43,678751,16.49,1,EMP0146
2018,Q1,2398649,51398,172,49,49,576127,12.01,2,EMP0158
2015,Q1,3214530,370080,428,17,47,634611,10.43,3,EMP0032
2015,Q2,4700714,801319,185,35,38,375847,18.36,1,EMP0160
2011,Q2,3127065,518628,361,9,7,874606,17.01,5,EMP0084
2012,Q4,1627361,179818,411,11,25,508603,5.19,2,EMP0118
2022,Q1,4896662,840877,369,31,30,965993,7.02,4,EMP0013
2014,Q3,1498084,103400,84,45,26,711596,0.68,4,EMP0026
2017,Q1,3796722,613415,259,35,7,218165,16.83,5,EMP0144
2022,Q1,2534362,464805,296,40,13,805020,9.0,3,EMP0144
2016,Q1,3910744,959832,306,23,19,544349,12.76,3,EMP0142
2023,Q3,3554978,939159,418,45,36,722647,13.3,2,EMP0045
2013,Q4,3944860,59874,51,39,16,562320,15.92,4,EMP0072
2011,Q3,3906920,826779,319,48,19,799994,6.69,1,EMP0028
2020,Q1,844233,961932,151,5,28,462934,17.02,1,EMP0042
2012,Q3,3097678,150361,134,42,9,470796,0.35,5,EMP0187
2020,Q1,1858915,685088,137,45,4,116765,17.56,4,EMP0056
2012,Q3,1501153,150470,377,37,16,901530,17.14,1,EMP0192
2015,Q2,4406608,439505,111,34,32,920660,18.79,4,EMP0142
2014,Q4,1398116,508887,196,18,28,927159,10.94,3,EMP0030
2010,Q4,2020071,237650,90,19,19,339055,5.79,4,EMP0004
2021,Q2,3023152,348456,10,35,31,231629,11.91,1,EMP0008
2013,Q3,4284456,570246,238,13,45,595832,11.77,2,EMP0191
2023,Q1,4129400,977199,116,25,10,188516,3.86,4,EMP0169
2022,Q4,3361306,100447,11,49,22,130355,1.63,3,EMP0135
2010,Q4,3458447,299078,74,36,49,657478,6.06,2,EMP0079
2022,Q4,2456671,611420,228,20,2,785681,14.19,5,EMP0046
2012,Q2,1697515,910908,457,38,33,234010,14.73,4,EMP0197
2013,Q1,721268,110113,476,8,27,127084,12.03,2,EMP0165
2011,Q2,1076187,880686,158,6,1,485291,5.56,2,EMP0149
2018,Q1,3718892,329703,360,27,27,689248,5.06,1,EMP0042
2011,Q2,2067298,626213,265,38,43,376657,1.49,5,EMP0167
2011,Q3,566132,313475,110,31,26,464921,4.23,1,EMP0108
2017,Q4,2814412,985357,411,22,25,628549,11.84,1,EMP0138
2012,Q4,2702710,946863,268,47,39,361641,17.1,1,EMP0171
2018,Q2,3960998,700772,404,48,33,667499,7.01,1,EMP0180
2019,Q3,4784632,579299,80,5,13,182389,3.67,3,EMP0182
2019,Q3,2251787,160403,451,40,8,932456,18.0,5,EMP0102
2013,Q1,3357381,323986,447,32,11,696561,14.76,2,EMP0190
2022,Q3,954767,505135,156,14,28,579429,15.23,5,EMP0150
2014,Q3,2969237,381938,447,42,34,691968,14.39,4,EMP0084
2020,Q1,1230433,569926,344,20,37,564096,11.05,2,EMP0168
2011,Q1,2672037,869187,60,32,1,557507,4.96,2,EMP0124
2022,Q4,2068828,504793,152,34,8,685439,15.7,2,EMP0004
2020,Q4,1104604,892345,85,10,43,893402,10.06,2,EMP0126
2010,Q4,2911753,178224,201,6,37,856738,15.03,1,EMP0058
2019,Q3,4312469,703259,462,30,48,911858,4.94,5,EMP0055
2023,Q3,2962288,184436,387,14,47,571725,9.98,3,EMP0127
2019,Q1,4382575,231239,99,23,25,277082,15.69,2,EMP0133
2021,Q1,2346407,738051,474,5,29,402635,9.52,5,EMP0018
2014,Q2,1390323,59031,93,28,46,705055,0.79,5,EMP0035
2014,Q1,2419219,367199,115,29,13,524212,7.89,5,EMP0120
2017,Q2,2192872,777793,357,48,16,562005,16.17,3,EMP0001
2011,Q4,4541599,893362,176,34,42,228030,15.99,3,EMP0092
2017,Q3,1004138,395239,399,28,34,223654,16.01,2,EMP0084
2022,Q1,2025321,799955,182,16,32,709445,18.11,5,EMP0065
2022,Q3,1214734,956339,77,47,28,124411,19.8,5,EMP0153
2015,Q3,3622424,428671,128,14,47,527483,19.07,1,EMP0062
2019,Q3,4717796,213368,251,25,37,199812,4.25,3,EMP0056
2011,Q2,4212251,599830,459,20,39,380844,16.3,2,EMP0045
2019,Q3,1411540,879586,217,37,18,222154,9.7,4,EMP0010
2010,Q2,3505475,930029,440,39,20,121030,19.35,5,EMP0199
2021,Q2,2472643,206681,129,40,42,266662,13.19,3,EMP0167
2022,Q1,4407779,618973,247,30,40,664687,3.88,2,EMP0181
2011,Q3,3675525,164584,157,35,45,400729,5.9,2,EMP0113
2016,Q3,1616083,435628,200,22,49,768174,5.93,4,EMP0086
2020,Q3,3861590,321679,224,22,34,978496,17.02,3,EMP0193
2014,Q4,1855125,522008,357,36,42,278434,0.72,3,EMP0122
2013,Q3,3139562,130934,343,15,19,170653,9.12,4,EMP0163
2012,Q4,597406,632613,15,9,37,753970,18.48,3,EMP0196
2019,Q2,988861,738042,366,20,7,686728,3.5,4,EMP0007
2012,Q3,2026484,442618,448,33,43,649940,18.48,1,EMP0028
2015,Q3,690858,146888,107,41,13,997376,9.9,5,EMP0020
2017,Q4,1137715,110323,359,20,26,551412,11.37,1,EMP0026
2010,Q3,669715,632281,63,5,50,538711,6.42,2,EMP0017
2023,Q3,1409181,648559,124,11,19,910502,12.81,1,EMP0002
2021,Q4,2540618,281118,484,8,14,736264,19.55,3,EMP0061
2021,Q2,2498826,935711,12,24,22,984250,0.31,5,EMP0023
2013,Q4,3144585,783078,496,27,26,667765,10.8,1,EMP0127
2010,Q3,1005918,636065,411,27,27,698398,8.88,2,EMP0015
2021,Q2,4278073,697325,185,43,2,730612,15.48,4,EMP0018
2013,Q1,2691993,434074,311,5,15,125777,12.42,4,EMP0044
2020,Q1,603963,148009,424,17,18,197561,5.61,3,EMP0177
2012,Q4,1176406,158905,364,40,32,434953,4.58,4,EMP0010
2011,Q2,3438430,119346,119,37,33,913575,5.87,3,EMP0139
2016,Q1,1161287,80619,372,26,40,706949,14.76,5,EMP0015
2018,Q3,1520970,401652,31,17,37,889530,11.62,4,EMP0137
2023,Q1,691467,173943,163,17,44,954371,5.81,5,EMP0046
2017,Q4,4913732,52306,19,11,25,374188,15.5,4,EMP0112
2019,Q1,4004511,887397,223,22,33,240439,13.88,4,EMP0066
2010,Q2,1999888,859183,261,46,21,787690,15.91,4,EMP0139
2013,Q2,990689,646135,90,6,29,156258,0.87,1,EMP0127
2023,Q2,2903330,460054,419,39,38,707080,3.91,2,EMP0069
2010,Q2,2643490,149458,218,41,18,725034,10.4,4,EMP0094
2023,Q1,3205906,765848,345,14,15,308075,0.67,2,EMP0116
2013,Q1,4239292,846301,254,45,20,130260,16.36,4,EMP0175
2013,Q2,890340,182195,341,47,5,799686,10.53,1,EMP0021
2013,Q4,502327,456666,473,22,32,958023,10.96,3,EMP0050
